insee_code,postal_code,city,populationlatitude,longitude,mayor_first_name,mayor_last_name,mayor_birthdate,first_mandate_date,party
01001,1400,L'Abergement-Clémenciat,780,46.1331001556,4.99858455549,Daniel,BOULON,1951-03-04,2008,SE
01002,1640,L'Abergement-de-Varey,234,46.0337779297,5.42151732468,Max,ORSET,1947-11-02,2008,SE
01004,1500,Ambérieu-en-Bugey,13839,45.9756078125,5.34313562094,Daniel,FABRE,1961-09-07,2014,UDI
01005,1330,Ambérieux-en-Dombes,1600,45.9976909227,5.02164504767,Pierre,PERNET,1961-07-29,2014,SE
01006,1300,Ambléon,112,45.7328309975,5.65715901636,Annie,BIONDA,1951-11-28,2011,SE
01007,1500,Ambronay,2365,45.9756078125,5.34313562094,Gisèle,LEVRAT,1953-08-08,2014,DVG
01008,1500,Ambutrix,734,45.9756078125,5.34313562094,Dominique,DELOFFRE,1962-10-03,2014,NA
01009,1300,Andert-et-Condon,339,45.7328309975,5.65715901636,Yves,DELARUELLE,1944-01-29,1995,SE
01010,1350,Anglefort,1031,45.8543854094,5.76557245306,Bernard,THIBOUD,1948-07-06,2008,DVD
01011,1100,Apremont,374,46.2468792013,5.65226081977,Jean-Pierre,GIRARD,1951-10-30,1995,NA
01012,1110,Aranc,306,45.9724218119,5.577110369,Daniel,MATHIEU,1948-04-02,2014,NA
01013,1230,Arandas,162,45.9329292993,5.4692328328,Lionel,MANOS,1970-09-07,2014,NA
01014,1100,Arbent,3458,46.2468792013,5.65226081977,Liliane,MAISSIAT,1944-01-01,2001,UMP-LR
01015,1300,Arbignieu,484,45.7328309975,5.65715901636,Charles,BERGER,1951-04-04,2014,SE
01016,1190,Arbigny,405,46.4316836316,4.96424452785,Daniel,GRAS,1948-08-10,2014,SE
01017,1230,Argis,421,45.9329292993,5.4692328328,Marcel,CHEVE,1938-03-05,2001,NA
01019,1510,Armix,20,45.8480243468,5.61949053703,Véronique,VUILLOUD,1964-08-28,2014,NA
01021,1480,Ars-sur-Formans,1374,46.0178170669,4.81482624573,Richard,PACCAUD,1952-11-21,2014,SE
01022,1510,Artemare,1140,45.8480243468,5.61949053703,Mireille,CHARMONT-MUNET,1952-05-17,2001,UMP-LR
01023,1570,Asnières-sur-Saône,73,46.3545794503,4.88868114295,Jean-Marc,WILLEMS,1951-09-30,2005,SE
01024,1340,Attignat,3023,46.3400485451,5.13297724307,Walter,MARTIN,1966-05-07,2014,DVD
01025,1380,Bâgé-la-Ville,3114,46.3161847468,4.97400450524,Dominique,REPIQUET,1949-05-06,2008,DVD
01026,1380,Bâgé-le-Châtel,786,46.3161847468,4.97400450524,Jean-claude,THEVENOT,1946-06-27,2014,SE
01027,1360,Balan,2498,45.8283269463,5.15327415034,Gérard,BOUVIER,1953-07-31,2014,UMP-LR
01028,1990,Baneins,567,46.0766987934,4.89959868147,Jean-Pierre,GRANGE,1964-05-28,2014,SE
01029,1270,Beaupont,650,46.3890219242,5.30343220636,Georges,GOULY,1951-05-25,1995,UMP-LR
01030,1480,Beauregard,867,46.0178170669,4.81482624573,Daniel,DOMPOINT,1951-04-01,2014,SE
01031,1100,Bellignat,3590,46.2468792013,5.65226081977,Jean-Georges,ARBANT,1949-02-11,2014,PS
