"codeinsee";"libdpt";"libsubcom";"popsubcom";"nompsn";"prepsn";"civpsn";"naissance";"csp";"libcsp"
"01001";"AIN";"L'Abergement-Clémenciat";780;"BOULON";"Daniel";"M";1951-03-04;61;"Retraités salariés privés"
"01002";"AIN";"L'Abergement-de-Varey";234;"ORSET";"Max";"M";1947-11-02;65;"Autres retraités"
"01004";"AIN";"Ambérieu-en-Bugey";13839;"FABRE";"Daniel";"M";1961-09-07;51;"Cadres (entreprises publiques)"
"01005";"AIN";"Ambérieux-en-Dombes";1600;"PERNET";"Pierre";"M";1961-07-29;42;"Professeurs du secondaire et techn."
"01006";"AIN";"Ambléon";112;"BIONDA";"Annie";"F";1951-11-28;63;"Retraités fonct.publique (sf enseig.)"
"01007";"AIN";"Ambronay";2365;"LEVRAT";"Gisèle";"F";1953-08-08;61;"Retraités salariés privés"
"01008";"AIN";"Ambutrix";734;"DELOFFRE";"Dominique";"M";1962-10-03;14;"Agents technique et techniciens"
"01009";"AIN";"Andert-et-Condon";339;"DELARUELLE";"Yves";"M";1944-01-29;61;"Retraités salariés privés"
"01010";"AIN";"Anglefort";1031;"THIBOUD";"Bernard";"M";1948-07-06;59;"Retr.artis.commerc.chefs d'entrep."
"01011";"AIN";"Apremont";374;"GIRARD";"Jean-Pierre";"M";1951-10-30;61;"Retraités salariés privés"
"01012";"AIN";"Aranc";306;"MATHIEU";"Daniel";"M";1948-04-02;41;"Professeurs de faculté"
"01013";"AIN";"Arandas";162;"MANOS";"Lionel";"M";1970-09-07;1;"Agriculteurs propriétaires exploit."
"01014";"AIN";"Arbent";3458;"MAISSIAT";"Liliane";"F";1944-01-01;61;"Retraités salariés privés"
"01015";"AIN";"Arbignieu";484;"BERGER";"Charles";"M";1951-04-04;64;"Retraités des entreprises publiques"
"01016";"AIN";"Arbigny";405;"GRAS";"Daniel";"M";1948-08-10;59;"Retr.artis.commerc.chefs d'entrep."
"01017";"AIN";"Argis";421;"CHEVE";"Marcel";"M";1938-03-05;61;"Retraités salariés privés"
